workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education
298,"""English""","""1""","""Female""","""26""","""No problems""","""""",NA,"""0.30""","""3"""
299,"""English""","""1""","""Male""","""29""","""no""","""""",NA,"""0.10""","""2"""
300,"""English""","""1""","""Male""","""33""","""no""","""This was a quick and easy experiment.""",NA,"""0.30""","""3"""
301,"""English""","""2""","""Female""","""59""","""No""","""""",NA,""".25""","""3"""
302,"""American English""","""2""","""Male""","""33""","""None I could tell. ""","""Interesting! ""","""Yes""","""0.27""","""2"""
303,"""english""","""2""","""Female""","""38""","""no""","""wish these were batch hits""","""Yes""",""".30""","""1"""
304,"""English, some Spanish""","""2""","""Female""","""23""","""none""","""""","""Yes""","""your pay rate is fair""","""3"""
305,"""English""","""2""","""Male""","""43""","""No""","""It was a fun hit compared to others. ""","""Yes""","""0.27""","""0"""
306,"""English""","""2""","""Male""","""27""","""No""","""I would definitely like to know when more HITs like this come available!  Thanks!""","""Yes""","""Yes""","""3"""
307,"""English""","""2""","""Female""","""30""","""No""","""N/A""","""Yes""",""".25""","""3"""
308,"""English""","""1""","""Female""","""36""","""none""","""fun and quick ""","""Yes""",""".27""","""3"""
309,"""korean""","""2""","""Male""","""29""","""no problems""","""""","""Yes""",""".27""","""3"""
310,"""English""","""1""","""Female""","""25""","""""","""""","""Yes""",""".27""","""3"""
311,"""English""","""1""","""Male""","""51""","""nothing""","""""",NA,"""$0.27""","""3"""
312,"""English""","""2""","""Male""","""25""","""""","""""","""Yes""",""".27""","""2"""
313,"""English""","""2""","""Female""","""45""","""no""","""n/a""","""Yes""","""yes""","""4"""
314,"""English""","""2""","""Female""","""38""","""no""","""""","""Yes""","""27 cent""","""1"""
315,"""english""","""2""","""Female""","""32""","""none""","""none""","""Yes""","""0.20""","""2"""
316,"""English""","""2""","""Male""","""29""","""No""","""None""","""No""","""Yes""","""2"""
317,"""English""","""2""","""Male""","""39""","""no""","""""","""Yes""","""100.00""","""2"""
318,"""English""","""1""","""Female""","""56""","""no""","""""","""Yes""","""yes""","""3"""
319,"""english""","""1""","""Male""","""36""","""no""","""""","""Yes""",""".27""","""3"""
320,"""English""","""2""","""Female""","""27""","""""","""""","""Yes""",""".30""","""3"""
321,"""English""","""1""","""Male""","""27""","""None.""","""None. ""","""Yes""","""Yes""","""2"""
322,"""English""","""1""","""Male""","""32""","""Not that I was aware of.""","""""","""Yes""","""I think 27 cents was fine.""","""3"""
323,"""English""","""1""","""Male""","""26""","""""","""""",NA,""".20""","""3"""
324,"""English""","""1""","""Male""","""32""","""No""","""""",NA,"""Yes""","""3"""
325,"""English""","""1""","""Female""","""30""","""No""","""None""","""Yes""",""".40""","""1"""
326,"""english""","""1""","""Female""","""24""","""No""","""""","""Yes""","""25""","""2"""
327,"""English""","""2""","""Female""","""62""","""No""","""N/A""",NA,"""1.00""","""3"""
328,"""English""","""2""","""Female""","""29""",""".25""","""""","""Yes""","""""","""4"""
329,"""english""","""2""","""Female""","""31""","""no""","""""","""Yes""","""yes""","""3"""
330,"""english""","""1""","""Male""","""28""","""none""","""""","""Yes""","""yes""","""3"""
331,"""English""","""1""","""Female""","""36""","""None.""","""None.""","""No""","""Average""","""2"""
332,"""english""","""1""","""Male""","""36""","""no""","""""",NA,""".25""","""2"""
333,"""English""","""1""","""Female""","""31""","""None""","""None, thanks!""","""Yes""",""".30""","""3"""
334,"""English""","""2""","""Female""","""40""","""No""","""""","""Yes""",""".30""","""2"""
335,"""English""","""2""","""Male""","""24""","""No bugs to report.""","""I would be willing to do more of these with other voice types.""","""Yes""",""".30""","""3"""
336,"""English""","""2""","""Male""","""33""","""No""","""""","""Yes""","""0.27""","""3"""
337,"""English""","""1""","""Male""","""26""","""""","""""","""Yes""",""".27""","""4"""
338,"""english""","""2""","""Female""","""21""","""Pretty straight forward . Listen and answer.""","""""","""Yes""","""What was said already.""","""2"""
339,"""English""","""2""","""Male""","""47""","""No""","""Thank You""","""Yes""",""".30""","""4"""
340,"""English""","""1""","""Female""","""26""","""No bugs.""","""Good study.""","""Yes""","""0.30""","""3"""
341,"""English""","""2""","""Male""","""25""","""NA""","""NA""","""Yes""","""0.50""","""3"""
342,"""English""","""1""","""Male""","""39""","""""","""""",NA,""".30""","""3"""
343,"""English""","""2""","""Male""","""25""","""None""","""""","""Yes""",""".25""","""3"""
344,"""English""","""2""","""Male""","""42""","""Easy, nice format - I haven&quotechart done any HIT like this.  Thanks!""","""Easy, nice format - I haven&quotechart done any HIT like this.  Thanks!""","""Yes""","""$0.27""","""2"""
345,"""English""","""2""","""Female""","""52""","""no""","""none""",NA,"""yes""","""2"""
346,"""English""","""1""","""Male""","""23""","""""","""""","""Yes""",""".3""","""3"""
347,"""English""","""2""","""Female""","""27""","""No""","""""","""Yes""","""0.20""","""2"""
348,"""English""","""2""","""Male""","""29""","""""","""""",NA,""".25""","""3"""
349,"""English""","""2""","""Female""","""30""","""None""","""None""","""No""","""Yes""","""2"""
350,"""English""","""2""","""Male""","""26""","""No problems at all.""","""""","""No""","""27 cents""","""2"""
351,"""English""","""2""","""Male""","""33""","""""","""""","""Yes""","""0.30""","""2"""
352,"""English ""","""2""","""Male""","""33""","""""","""""",NA,""".25""","""3"""
353,"""English""","""2""","""Male""","""32""","""No""","""""","""Yes""","""25-30 cents is fine""","""3"""
354,"""""","""1""","""Male""","""28""","""""","""""","""No""",""".3""","""3"""
355,"""English""","""2""","""Female""","""65""","""no""","""It was nice and easy.""","""Yes""",""".35""","""2"""
356,"""English""","""2""","""Male""","""36""","""None whatsoever""","""""",NA,"""0.30""","""3"""
357,"""English""","""2""","""Male""","""32""","""N/A""","""N/A""","""Yes""",""".25""","""3"""
358,"""English""","""2""","""Male""","""22""","""""","""""","""Yes""","""$0.30""","""1"""
359,"""english""","""2""","""Male""","""41""","""no""","""""","""Yes""","""yes""","""2"""
360,"""English""","""1""","""Male""","""66""","""no""","""""","""Yes""","""0.27""","""4"""
361,"""English""","""2""","""Male""","""28""","""No problems.""","""""","""Yes""","""Yes""","""3"""
362,"""spanish""","""1""","""Male""","""29""","""none""","""i enjoyed the HIT was cool""","""Yes""","""0.29""","""0"""
363,"""English""","""2""","""Female""","""31""","""""","""""",NA,"""0.27""","""3"""
364,"""English""","""2""","""Male""","""36""","""No""","""None, thanks!""","""Yes""","""Yes""","""3"""
365,"""English""","""2""","""Male""","""40""","""No problems.""","""That was interesting. Sounded like the guy was hesitant.""",NA,"""0.27""","""4"""
366,"""English""","""2""","""Female""","""38""","""NO""","""""","""Yes""","""YES""","""2"""
367,"""""","""2""","""""","""""","""""","""""",NA,"""""","""-1"""
368,"""english""","""2""","""Female""","""40""","""""","""""","""Yes""",""".25""","""4"""
369,"""English""","""2""","""Male""","""25""","""Nope""","""""",NA,"""0.10""","""2"""
370,"""English""","""2""","""Male""","""32""","""No""","""None""",NA,""".27""","""4"""
371,"""english""","""2""","""Male""","""34""","""no""","""""","""No""",""".30""","""3"""
372,"""English""","""2""","""Female""","""31""","""No""","""""","""Yes""","""0.20""","""3"""
373,"""English""","""1""","""Male""","""27""","""No""","""No comment.""","""Yes""","""$0.50""","""2"""
374,"""English""","""2""","""Male""","""25""","""no""","""thanks!""","""No""",""".25""","""3"""
375,"""english""","""1""","""Male""","""39""","""no""","""no""","""Yes""","""0.5""","""3"""
376,"""English""","""2""","""Female""","""33""","""No""","""""","""Yes""","""$.50""","""3"""
377,"""English""","""2""","""Female""","""22""","""No.""","""""","""Yes""","""$.10""","""3"""
378,"""English""","""2""","""Male""","""38""","""No""","""""","""Yes""","""0.27""","""3"""
379,"""English""","""2""","""Female""","""36""","""none""","""none""","""Yes""","""1.00""","""2"""
380,"""english""","""1""","""Male""","""29""","""no""","""""","""Yes""","""yes""","""3"""
381,"""English""","""1""","""Female""","""45""","""None""","""""",NA,"""Yes""","""4"""
382,"""English""","""1""","""Male""","""31""","""no""","""""",NA,""".30""","""3"""
383,"""English""","""2""","""Female""","""24""","""No""","""""","""Yes""",""".30""","""2"""
